  HOT WHEELS TEAM TRANSPORT BACK TO THE FUTURE TIME MACHINE DR. BROWN VAN LIMITED,$48.00,US,,https://www.ebay.ca/itm/HOT-WHEELS-TEAM-TRANSPORT-BACK-TO-THE-FUTURE-TIME-MACHINE-DR-BROWN-VAN-LIMITED/383825374343?hash=item595dc66c87:g:cF8AAOSwC5NfB08n
  Hot Wheels - DeLorean & Hover Back To The Future Time Machine,$10.00,AU,1,https://www.ebay.ca/itm/Hot-Wheels-DeLorean-Hover-Back-To-The-Future-Time-Machine/303776736401?hash=item46ba812491:g:PxQAAOSw-mJfuMx1
  Hot Wheels 2019 Treasure Hunt SUPER Back to the Future Time Machine Factory ,$45.00,US,1,https://www.ebay.ca/itm/Hot-Wheels-2019-Treasure-Hunt-SUPER-Back-to-the-Future-Time-Machine-Factory/353112326391?hash=item52372280f7:g:zbgAAOSwhIRe7NLA
"  Hot Wheels Retro Entertainment - Selection - Back to the Future, Simpsons, Forza",$8.50,US,2,https://www.ebay.ca/itm/Hot-Wheels-Retro-Entertainment-Selection-Back-to-the-Future-Simpsons-Forza/323532457032?var=512568632537&hash=item4b54098448:g:Zr4AAOSwfCpbKUgl
  Back to The Future DeLorean Time Machine Hover Mode 1:64 Model Car by Hot Wheels,$5.85,US,14,https://www.ebay.ca/itm/Back-to-The-Future-DeLorean-Time-Machine-Hover-Mode-1-64-Model-Car-by-Hot-Wheels/313315538075?hash=item48f30fb49b:g:enYAAOSww6lfvaR7
  2014 Hot Wheels Retro Entertainment 1987 Toyota Pickup Back To The Future Loose,$50.00,US,,https://www.ebay.ca/itm/2014-Hot-Wheels-Retro-Entertainment-1987-Toyota-Pickup-Back-To-The-Future-Loose/284093082475?hash=item4225446b6b:g:l0sAAOSwlHdfsZCy
  Hot Wheels Premium Back to the Future 3 Time Machine 1955,$22.95,US,1,https://www.ebay.ca/itm/Hot-Wheels-Premium-Back-to-the-Future-3-Time-Machine-1955/184547159524?hash=item2af7de2de4:g:o-AAAOSw2PVfufhP
  PREORDER Hot Wheels Back to The Future 35th Anniversary Delorean Time Machine,$95.84,US,2,https://www.ebay.ca/itm/PREORDER-Hot-Wheels-Back-to-The-Future-35th-Anniversary-Delorean-Time-Machine/233758397206?hash=item366d161316:g:rPAAAOSwJBdflvCQ
  Back To The Future 1955 * Hot Wheels Retro Entertainment * HE18,$19.99,US,,https://www.ebay.ca/itm/Back-To-The-Future-1955-Hot-Wheels-Retro-Entertainment-HE18/193746157418?hash=item2d1c2bbf6a:g:LdcAAOSw42NfrEnX
  Hot Wheels ID - BACK TO THE FUTURE TIME MACHINE ,$16.00,US,2,https://www.ebay.ca/itm/Hot-Wheels-ID-BACK-TO-THE-FUTURE-TIME-MACHINE/124448279060?hash=item1cf9b20a14:g:OAcAAOSw5JdftrIu
  Hot Wheels Back to the Future Hoverboard LE Mattel (Amazon Exclusive) Presale,$75.00,US,,https://www.ebay.ca/itm/Hot-Wheels-Back-to-the-Future-Hoverboard-LE-Mattel-Amazon-Exclusive-Presale/233792072223?hash=item366f17ea1f:g:SG0AAOSwl5hfrn-c
  Hot Wheels Back to The Future Delorean Time Machine 2011 HW Premiere Mattel ,$5.00,US,42,https://www.ebay.ca/itm/Hot-Wheels-Back-to-The-Future-Delorean-Time-Machine-2011-HW-Premiere-Mattel/143825621397?epid=1924589343&hash=item217cacd195:g:V-wAAOSwleBfpIY3
  BACK TO THE FUTURE TIME MACHINE - DeLorean Unopened 2013 Hot Wheels Elite Cars,$75.00,US,1,https://www.ebay.ca/itm/BACK-TO-THE-FUTURE-TIME-MACHINE-DeLorean-Unopened-2013-Hot-Wheels-Elite-Cars/184456322807?hash=item2af2741ef7:g:nM0AAOSwGsRfZ9aq
  Hot Wheels - Back to The Future I & III LOT of 4,$48.99,US,1,https://www.ebay.ca/itm/Hot-Wheels-Back-to-The-Future-I-III-LOT-of-4/274582808440?hash=item3fee692778:g:NZkAAOSwI99ftvcl
